City: Rankin, IL, X-Axis: 40.4638, Y-Axis: 87.8961
City: Ogden, IL, X-Axis: 40.1137, Y-Axis: 87.9571
City: Potomac, IL, X-Axis: 40.3064, Y-Axis: 87.8
City: Fithian, IL, X-Axis: 40.1147, Y-Axis: 87.8741
City: Muncie, IL, X-Axis: 40.1151, Y-Axis: 87.8453
City: Homer, IL, X-Axis: 40.035, Y-Axis: 87.959
City: Cissna Park, IL, X-Axis: 40.5647, Y-Axis: 87.894
City: Oakwood, IL, X-Axis: 40.1121, Y-Axis: 87.7764
City: Henning, IL, X-Axis: 40.3055, Y-Axis: 87.7004
City: Fairmount, IL, X-Axis: 40.0451, Y-Axis: 87.8299
City: Rossville, IL, X-Axis: 40.3804, Y-Axis: 87.6686
City: Hoopeston, IL, X-Axis: 40.467, Y-Axis: 87.671
City: Catlin, IL, X-Axis: 40.0664, Y-Axis: 87.7066
City: Broadlands, IL, X-Axis: 39.9085, Y-Axis: 87.9955
City: Allerton, IL, X-Axis: 39.9129, Y-Axis: 87.9356
City: Onarga, IL, X-Axis: 40.7154, Y-Axis: 88.0069
City: Wellington, IL, X-Axis: 40.5413, Y-Axis: 87.6808
City: Bismarck, IL, X-Axis: 40.2624, Y-Axis: 87.6099
City: Alvin, IL, X-Axis: 40.3095, Y-Axis: 87.6069
City: Danville, IL, X-Axis: 40.1393, Y-Axis: 87.6215
City: Tilton, IL, X-Axis: 40.0966, Y-Axis: 87.6421
City: Sidell, IL, X-Axis: 39.9112, Y-Axis: 87.8205
City: Belgium, IL, X-Axis: 40.0623, Y-Axis: 87.6389
City: Milford, IL, X-Axis: 40.6277, Y-Axis: 87.6958
City: Gilman, IL, X-Axis: 40.7675, Y-Axis: 87.9936
City: Westville, IL, X-Axis: 40.0433, Y-Axis: 87.638
City: Indianola, IL, X-Axis: 39.9272, Y-Axis: 87.7402
City: Crescent City, IL, X-Axis: 40.7704, Y-Axis: 87.8578
City: Woodland, IL, X-Axis: 40.7139, Y-Axis: 87.7305
City: Georgetown, IL, X-Axis: 39.9785, Y-Axis: 87.6362
City: State Line City, IN, X-Axis: 40.1966, Y-Axis: 87.5271
City: Newman, IL, X-Axis: 39.798, Y-Axis: 87.9863
City: Danforth, IL, X-Axis: 40.8209, Y-Axis: 87.9793
City: Hume, IL, X-Axis: 39.7977, Y-Axis: 87.8675
City: Ambia, IN, X-Axis: 40.4899, Y-Axis: 87.5162
City: Metcalf, IL, X-Axis: 39.8015, Y-Axis: 87.8058
City: Watseka, IL, X-Axis: 40.7767, Y-Axis: 87.7355
City: Ridge Farm, IL, X-Axis: 39.8968, Y-Axis: 87.6526
City: Ashkum, IL, X-Axis: 40.8814, Y-Axis: 87.9522
City: Brocton, IL, X-Axis: 39.7165, Y-Axis: 87.9318
City: Chrisman, IL, X-Axis: 39.804, Y-Axis: 87.6757
City: Clifton, IL, X-Axis: 40.9346, Y-Axis: 87.9335
City: West Lebanon, IN, X-Axis: 40.2704, Y-Axis: 87.386
