City: Rantoul, IL, X-Axis: 40.3046, Y-Axis: 88.1521
City: Ludlow, IL, X-Axis: 40.3862, Y-Axis: 88.1269
City: Paxton, IL, X-Axis: 40.4587, Y-Axis: 88.0958
City: Thomasboro, IL, X-Axis: 40.242, Y-Axis: 88.1877
City: St. Joseph, IL, X-Axis: 40.1129, Y-Axis: 88.0376
City: Loda, IL, X-Axis: 40.5164, Y-Axis: 88.074
City: Urbana, IL, X-Axis: 40.1097, Y-Axis: 88.2042
City: Sidney, IL, X-Axis: 40.0244, Y-Axis: 88.0727
City: Buckley, IL, X-Axis: 40.5972, Y-Axis: 88.037
City: Elliott, IL, X-Axis: 40.4648, Y-Axis: 88.2715
City: Champaign, IL, X-Axis: 40.113, Y-Axis: 88.2612
City: Fisher, IL, X-Axis: 40.3158, Y-Axis: 88.3486
City: Philo, IL, X-Axis: 40.0054, Y-Axis: 88.1565
City: Savoy, IL, X-Axis: 40.0634, Y-Axis: 88.2524
City: Roberts, IL, X-Axis: 40.6133, Y-Axis: 88.1827
City: Melvin, IL, X-Axis: 40.5695, Y-Axis: 88.2489
City: Lake of the Woods, IL, X-Axis: 40.202, Y-Axis: 88.3671
City: Thawville, IL, X-Axis: 40.6739, Y-Axis: 88.1133
City: Gibson, IL, X-Axis: 40.4657, Y-Axis: 88.3747
City: Mahomet, IL, X-Axis: 40.1924, Y-Axis: 88.4021
City: Bondville, IL, X-Axis: 40.1126, Y-Axis: 88.3685
City: Tolono, IL, X-Axis: 39.986, Y-Axis: 88.2597
City: Foosland, IL, X-Axis: 40.3605, Y-Axis: 88.4288
City: Longview, IL, X-Axis: 39.8862, Y-Axis: 88.0651
City: Sibley, IL, X-Axis: 40.5876, Y-Axis: 88.3823
City: Villa Grove, IL, X-Axis: 39.8637, Y-Axis: 88.1596
City: Pesotum, IL, X-Axis: 39.914, Y-Axis: 88.274
City: Sadorus, IL, X-Axis: 39.9664, Y-Axis: 88.3452
City: Piper City, IL, X-Axis: 40.7567, Y-Axis: 88.1896
City: Mansfield, IL, X-Axis: 40.2128, Y-Axis: 88.5074
City: Bellflower, IL, X-Axis: 40.3405, Y-Axis: 88.5267
City: Strawn, IL, X-Axis: 40.6527, Y-Axis: 88.3975
City: Saybrook, IL, X-Axis: 40.4275, Y-Axis: 88.5265
City: Chatsworth, IL, X-Axis: 40.7543, Y-Axis: 88.293
City: Camargo, IL, X-Axis: 39.7988, Y-Axis: 88.1649
City: Ivesdale, IL, X-Axis: 39.9446, Y-Axis: 88.4569
City: Tuscola, IL, X-Axis: 39.7977, Y-Axis: 88.2816
City: Anchor, IL, X-Axis: 40.5676, Y-Axis: 88.5388
City: Forrest, IL, X-Axis: 40.75, Y-Axis: 88.41
City: Monticello, IL, X-Axis: 40.0281, Y-Axis: 88.573
City: Cullom, IL, X-Axis: 40.8782, Y-Axis: 88.269
City: Farmer City, IL, X-Axis: 40.2463, Y-Axis: 88.6419
City: Arrowsmith, IL, X-Axis: 40.4489, Y-Axis: 88.6315
