City: Royal, IL, X-Axis: 40.1934, Y-Axis: 87.9732
City: Rantoul, IL, X-Axis: 40.3046, Y-Axis: 88.1521
City: Ludlow, IL, X-Axis: 40.3862, Y-Axis: 88.1269
City: Paxton, IL, X-Axis: 40.4587, Y-Axis: 88.0958
City: Thomasboro, IL, X-Axis: 40.242, Y-Axis: 88.1877
City: St. Joseph, IL, X-Axis: 40.1129, Y-Axis: 88.0376
City: Rankin, IL, X-Axis: 40.4638, Y-Axis: 87.8961
City: Ogden, IL, X-Axis: 40.1137, Y-Axis: 87.9571
City: Loda, IL, X-Axis: 40.5164, Y-Axis: 88.074
City: Potomac, IL, X-Axis: 40.3064, Y-Axis: 87.8
City: Fithian, IL, X-Axis: 40.1147, Y-Axis: 87.8741
City: Muncie, IL, X-Axis: 40.1151, Y-Axis: 87.8453
City: Urbana, IL, X-Axis: 40.1097, Y-Axis: 88.2042
City: Homer, IL, X-Axis: 40.035, Y-Axis: 87.959
City: Sidney, IL, X-Axis: 40.0244, Y-Axis: 88.0727
City: Cissna Park, IL, X-Axis: 40.5647, Y-Axis: 87.894
City: Buckley, IL, X-Axis: 40.5972, Y-Axis: 88.037
City: Elliott, IL, X-Axis: 40.4648, Y-Axis: 88.2715
City: Champaign, IL, X-Axis: 40.113, Y-Axis: 88.2612
City: Oakwood, IL, X-Axis: 40.1121, Y-Axis: 87.7764
City: Henning, IL, X-Axis: 40.3055, Y-Axis: 87.7004
City: Fairmount, IL, X-Axis: 40.0451, Y-Axis: 87.8299
City: Fisher, IL, X-Axis: 40.3158, Y-Axis: 88.3486
City: Philo, IL, X-Axis: 40.0054, Y-Axis: 88.1565
City: Savoy, IL, X-Axis: 40.0634, Y-Axis: 88.2524
City: Roberts, IL, X-Axis: 40.6133, Y-Axis: 88.1827
City: Melvin, IL, X-Axis: 40.5695, Y-Axis: 88.2489
City: Lake of the Woods, IL, X-Axis: 40.202, Y-Axis: 88.3671
City: Rossville, IL, X-Axis: 40.3804, Y-Axis: 87.6686
City: Thawville, IL, X-Axis: 40.6739, Y-Axis: 88.1133
City: Hoopeston, IL, X-Axis: 40.467, Y-Axis: 87.671
City: Gibson, IL, X-Axis: 40.4657, Y-Axis: 88.3747
City: Catlin, IL, X-Axis: 40.0664, Y-Axis: 87.7066
City: Mahomet, IL, X-Axis: 40.1924, Y-Axis: 88.4021
City: Bondville, IL, X-Axis: 40.1126, Y-Axis: 88.3685
City: Broadlands, IL, X-Axis: 39.9085, Y-Axis: 87.9955
City: Tolono, IL, X-Axis: 39.986, Y-Axis: 88.2597
City: Allerton, IL, X-Axis: 39.9129, Y-Axis: 87.9356
City: Onarga, IL, X-Axis: 40.7154, Y-Axis: 88.0069
City: Foosland, IL, X-Axis: 40.3605, Y-Axis: 88.4288
City: Wellington, IL, X-Axis: 40.5413, Y-Axis: 87.6808
City: Bismarck, IL, X-Axis: 40.2624, Y-Axis: 87.6099
City: Alvin, IL, X-Axis: 40.3095, Y-Axis: 87.6069
City: Longview, IL, X-Axis: 39.8862, Y-Axis: 88.0651
City: Danville, IL, X-Axis: 40.1393, Y-Axis: 87.6215
City: Tilton, IL, X-Axis: 40.0966, Y-Axis: 87.6421
City: Sidell, IL, X-Axis: 39.9112, Y-Axis: 87.8205
City: Belgium, IL, X-Axis: 40.0623, Y-Axis: 87.6389
City: Sibley, IL, X-Axis: 40.5876, Y-Axis: 88.3823
City: Milford, IL, X-Axis: 40.6277, Y-Axis: 87.6958
City: Gilman, IL, X-Axis: 40.7675, Y-Axis: 87.9936
City: Villa Grove, IL, X-Axis: 39.8637, Y-Axis: 88.1596
City: Westville, IL, X-Axis: 40.0433, Y-Axis: 87.638
City: Pesotum, IL, X-Axis: 39.914, Y-Axis: 88.274
City: Sadorus, IL, X-Axis: 39.9664, Y-Axis: 88.3452
City: Indianola, IL, X-Axis: 39.9272, Y-Axis: 87.7402
City: Piper City, IL, X-Axis: 40.7567, Y-Axis: 88.1896
